@relation 'runoff_4km_train'
@attribute 'P1' real
@attribute 'P2' real
@attribute 'T1' real
@attribute 'T2' real
@attribute 'SCA_4' real
@attribute 'Q-1' real
@attribute 'Q' real
@data
0,4,24.2,18.6,4.41,165,160
0,0,26.4,19.1,4.41,160,160
0,0,26,19.1,1.73,160,153
0,0,24.3,18.8,1.73,153,136
0.2,1.6,24.8,19,1.57,136,137
0,0,23,17.4,1.57,137,134
0,0,24.1,17.5,1.57,134,127
0,0,21.4,16.2,1.57,127,119
0,0,21.8,17.6,1.57,119,112
0,0,20.7,16.1,1.57,112,110
0,0,21.6,18,0.00,110,107
0,0,23,19.8,0.00,107,103
0,0,21.7,17.2,0.00,103,95.1
0,0,23,16.6,0.00,95.1,89.4
0,0,22.2,16.8,0.00,89.4,84.8
0,0,22.7,19,0.00,84.8,84.8
0,0,23.6,18.6,0.00,84.8,79.4
0,0,25.8,19,0.00,79.4,77.7
0,0.4,25.4,20.4,0.00,77.7,76
0,0,26.8,19.5,0.00,76,72.6
0,0,25.8,21.8,0.00,72.6,72.6
0,0,23.5,20.6,0.00,72.6,86.6
0.6,0,25.5,20.6,0.00,86.6,88.5
0,0,24.6,18.8,0.00,88.5,75.1
0,7.7,22.9,18.7,0.00,75.1,75.1
0.1,0.4,24,16.6,0.00,75.1,71.7
0.1,4.9,24.4,18.2,0.00,71.7,70
0,0.2,24.8,17.8,0.00,70,72.6
0,1.9,22.5,17.2,0.00,72.6,78.5
0.5,3.6,23.2,17.6,0.00,78.5,83
0,2.1,23.2,16.2,0.00,83,80.3
0.2,6.1,21.9,16.5,0.00,80.3,83
2.9,0.9,21.8,17.2,0.00,83,97
0,0,21.3,18.7,0.00,97,95.1
0,0,18.2,18.4,0.00,95.1,93.2
9.9,0,19.2,16.6,0.00,93.2,93.2
0,2,22.4,19.2,0.00,93.2,84.8
0,0,23.8,21,0.00,84.8,83.9
0,0,24.5,21.6,0.00,83.9,81.2
0,0,26.9,22.8,0.00,81.2,72.6
0,0,28.1,22.7,0.00,72.6,64.8
0,0,28,24,0.00,64.8,60.3
0,0,24.7,18.6,0.00,60.3,58.9
0,0.9,23.4,18,0.00,58.9,58.9
0,0,25.8,22.6,0.00,58.9,58.1
0,0,24.4,20.9,0.00,58.1,56.7
0,0,23.8,21.6,0.00,56.7,58.1
0,0,24.6,22.2,0.00,58.1,51.7
0,0,26,23.9,0.00,51.7,48.2
0,0,26.7,24.4,0.00,48.2,48.9
0,0,28,21.8,0.00,48.9,48.9
0,0,25.4,22.3,0.00,48.9,50.3
0,0,25.4,22.2,0.00,50.3,53.8
0,0,27.3,23.1,0.00,53.8,49.6
0,0,26.9,23.4,0.00,49.6,48.9
0,0,23.8,19.6,0.00,48.9,44.1
0,2.4,20.6,15.8,0.00,44.1,41.3
0,0.8,22.2,16.6,0.00,41.3,40.1
0,0,25.4,22,0.00,40.1,40.7
0,0,25.1,18.7,0.00,40.7,40.7
0,0.7,26,19.2,0.00,40.7,43.4
0,0.2,27.1,22,0.00,43.4,42
0,0,28.4,24.5,0.00,42,40.7
0,0,30.4,23.7,0.00,40.7,38.3
0,0,29.9,24.4,0.00,38.3,38.3
0,0,28,23.2,0.00,38.3,37.6
0,0,29.4,25,0.00,37.6,37
0,0,28.8,23.3,0.00,37,35.8
0,0,29.4,22.6,0.00,35.8,37.6
0,0,28.8,24.9,0.00,37.6,37.6
0,0,29.2,24,0.00,37.6,37.6
0,0,29.5,27.4,0.00,37.6,34.7
0,0,29,28.3,0.00,34.7,33.1
0,0,31,26.6,0.00,33.1,29.5
